model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,elapsed_seconds,config,valid_accuracy,vectorizer_vocabulary_size,best_valid_macro_f1,actual_vocab_size,device
tfidf_random_forest,0.793414,0.793908,0.793266,0.793441,0.7941,0.793414,0.793611,25.53,"{""max_features"": 20000, ""min_df"": 3, ""max_df"": 0.85, ""ngram_range"": [1, 2], ""n_estimators"": 120, ""max_depth"": null, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42}",0.799525,20000.0,,,
lstm,0.722458,0.72133,0.721874,0.720119,0.72155,0.722458,0.720528,384.68,"{""vocab_size"": 20000, ""max_len"": 160, ""embedding_dim"": 64, ""hidden_dim"": 64, ""num_layers"": 1, ""batch_size"": 256, ""epochs"": 5, ""learning_rate"": 0.001, ""min_token_freq"": 2, ""random_state"": 42, ""device"": ""cpu"", ""actual_vocab_size"": 20000}",,,0.71565,20000.0,cpu
