model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,elapsed_seconds,config,rank_macro_f1
tfidf_random_forest,0.793414,0.793908,0.793266,0.793441,0.793611,25.53,"{""max_features"": 20000, ""min_df"": 3, ""max_df"": 0.85, ""ngram_range"": [1, 2], ""n_estimators"": 120, ""max_depth"": null, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42}",2
lstm,0.722458,0.72133,0.721874,0.720119,0.720528,384.68,"{""vocab_size"": 20000, ""max_len"": 160, ""embedding_dim"": 64, ""hidden_dim"": 64, ""num_layers"": 1, ""batch_size"": 256, ""epochs"": 5, ""learning_rate"": 0.001, ""min_token_freq"": 2, ""random_state"": 42, ""device"": ""cpu"", ""actual_vocab_size"": 20000}",3
kobert_compatible_klue_roberta_small,0.884739,0.885858,0.884624,0.884674,0.884843,427.07,"{""model_name"": ""klue/roberta-small"", ""seed"": 42, ""max_length"": 160, ""batch_size"": 32, ""epochs"": 3, ""learning_rate"": 2e-05, ""weight_decay"": 0.01, ""max_train_samples"": 0, ""max_valid_samples"": 0, ""max_test_samples"": 0, ""gradient_accumulation_steps"": 1, ""device"": ""cuda"", ""actual_train_samples"": 27490, ""actual_valid_samples"": 5891, ""actual_test_samples"": 5891, ""best_valid_macro_f1"": 0.889455}",1
